index,airport,year,departures for metric computation,arrivals for metric computation,percent on-time gate departures,percent on-time airport departures,percent on-time gate arrivals,average_gate_departure_delay,average_taxi_out_time,average taxi out delay,average airport departure delay,average airborne delay,average taxi in delay,average block delay,average gate arrival delay,index,Airport,Year,Departure Cancellations,Arrival Cancellations,Departure Diversions,Arrival Diversions,index,Key,LocID,AP_NAME,ALIAS,Facility Type,FAA REGION,COUNTY,CITY,STATE,AP Type,Latitude,Longitude,Boundary Data Available
665,RSW,2012,34601,34659,0.8523,0.8297,0.811,8.99,11.97,2.24,10.33,2.13,0.88,3.24,10.36,648,RSW,2012,189,165,48,43,53,857,RSW,SOUTHWEST FLORIDA INTL,Southwest Florida Int'l Airport,Airport,ASO,LEE,FORT MYERS,FL,Federalized/Commercial,26.536167,-81.755167,Yes
664,RSW,2011,36450,36385,0.8199,0.7929,0.7812,11.34,12.13,2.42,12.89,2.28,0.94,3.67,12.27,647,RSW,2011,296,241,88,73,53,857,RSW,SOUTHWEST FLORIDA INTL,Southwest Florida Int'l Airport,Airport,ASO,LEE,FORT MYERS,FL,Federalized/Commercial,26.536167,-81.755167,Yes
663,RSW,2010,36391,36472,0.833,0.81,0.7882,10.55,11.97,2.23,12.01,2.46,0.86,3.58,11.72,646,RSW,2010,347,323,64,57,53,857,RSW,SOUTHWEST FLORIDA INTL,Southwest Florida Int'l Airport,Airport,ASO,LEE,FORT MYERS,FL,Federalized/Commercial,26.536167,-81.755167,Yes
662,RSW,2009,35902,35903,0.8298,0.8077,0.7976,10.47,11.98,2.2,11.86,2.3,0.75,3.7,11.06,645,RSW,2009,163,140,80,40,53,857,RSW,SOUTHWEST FLORIDA INTL,Southwest Florida Int'l Airport,Airport,ASO,LEE,FORT MYERS,FL,Federalized/Commercial,26.536167,-81.755167,Yes
661,RSW,2008,38640,38758,0.8106,0.7892,0.7679,12.09,12.21,2.21,13.54,2.05,0.54,4.4,13.18,644,RSW,2008,250,220,79,67,53,857,RSW,SOUTHWEST FLORIDA INTL,Southwest Florida Int'l Airport,Airport,ASO,LEE,FORT MYERS,FL,Federalized/Commercial,26.536167,-81.755167,Yes
660,RSW,2007,40564,40640,0.7825,0.7528,0.7281,13.44,12.63,2.64,15.27,2.62,1.41,4.86,14.86,643,RSW,2007,247,231,79,48,53,857,RSW,SOUTHWEST FLORIDA INTL,Southwest Florida Int'l Airport,Airport,ASO,LEE,FORT MYERS,FL,Federalized/Commercial,26.536167,-81.755167,Yes
659,RSW,2006,38541,38574,0.7949,0.7687,0.7364,12.31,12.88,2.44,13.94,2.49,1.79,4.82,13.96,642,RSW,2006,179,152,89,70,53,857,RSW,SOUTHWEST FLORIDA INTL,Southwest Florida Int'l Airport,Airport,ASO,LEE,FORT MYERS,FL,Federalized/Commercial,26.536167,-81.755167,Yes
658,RSW,2005,39361,39446,0.7828,0.7557,0.7208,12.86,13.46,2.76,14.55,2.1,1.6,4.89,14.91,641,RSW,2005,349,331,63,34,53,857,RSW,SOUTHWEST FLORIDA INTL,Southwest Florida Int'l Airport,Airport,ASO,LEE,FORT MYERS,FL,Federalized/Commercial,26.536167,-81.755167,Yes
657,RSW,2004,9204,9199,0.8228,0.8101,0.756,10.72,12.93,2.09,11.69,1.64,0.82,3.39,13.63,640,RSW,2004,270,230,48,56,53,857,RSW,SOUTHWEST FLORIDA INTL,Southwest Florida Int'l Airport,Airport,ASO,LEE,FORT MYERS,FL,Federalized/Commercial,26.536167,-81.755167,Yes
571,PBI,2014,37466,36904,0.6586,0.6297,0.6439,18.58,13.11,2.21,20.42,2.93,0.78,5.03,20.17,556,PBI,2014,429,414,88,56,57,843,PBI,PALM BEACH INTL,Palm Beach Int'l Airport,Airport,ASO,PALM BEACH,WEST PALM BEACH,FL,Federalized/Commercial,26.683167,-80.095583,Yes
570,PBI,2013,35800,34995,0.6705,0.6426,0.662,17.67,13.02,2.2,19.45,2.2,0.64,4.18,18.01,555,PBI,2013,164,159,79,40,57,843,PBI,PALM BEACH INTL,Palm Beach Int'l Airport,Airport,ASO,PALM BEACH,WEST PALM BEACH,FL,Federalized/Commercial,26.683167,-80.095583,Yes
569,PBI,2012,35521,34510,0.7188,0.6917,0.7044,14.72,12.94,2.49,16.4,2.13,0.75,3.39,15.79,554,PBI,2012,218,201,58,54,57,843,PBI,PALM BEACH INTL,Palm Beach Int'l Airport,Airport,ASO,PALM BEACH,WEST PALM BEACH,FL,Federalized/Commercial,26.683167,-80.095583,Yes
568,PBI,2011,36530,35262,0.7117,0.6872,0.6989,15.65,12.62,2.35,17.2,1.96,0.65,3.61,16.5,553,PBI,2011,380,344,102,47,57,843,PBI,PALM BEACH INTL,Palm Beach Int'l Airport,Airport,ASO,PALM BEACH,WEST PALM BEACH,FL,Federalized/Commercial,26.683167,-80.095583,Yes
567,PBI,2010,36664,35608,0.7167,0.6927,0.6965,15.53,12.52,2.25,17.02,1.96,0.76,3.76,16.68,552,PBI,2010,478,454,78,54,57,843,PBI,PALM BEACH INTL,Palm Beach Int'l Airport,Airport,ASO,PALM BEACH,WEST PALM BEACH,FL,Federalized/Commercial,26.683167,-80.095583,Yes
566,PBI,2009,35423,34681,0.7105,0.6857,0.6971,16.04,12.71,2.52,17.76,1.78,0.75,4.3,16.59,551,PBI,2009,222,193,88,56,57,843,PBI,PALM BEACH INTL,Palm Beach Int'l Airport,Airport,ASO,PALM BEACH,WEST PALM BEACH,FL,Federalized/Commercial,26.683167,-80.095583,Yes
565,PBI,2008,43427,42451,0.6972,0.6686,0.6665,17.29,13,2.54,19.21,2.35,0.89,5.02,18.72,550,PBI,2008,255,238,118,44,57,843,PBI,PALM BEACH INTL,Palm Beach Int'l Airport,Airport,ASO,PALM BEACH,WEST PALM BEACH,FL,Federalized/Commercial,26.683167,-80.095583,Yes
564,PBI,2007,47394,46148,0.6927,0.6576,0.6611,16.42,13.26,2.99,18.71,2.71,0.87,4.64,18.65,549,PBI,2007,361,359,116,42,57,843,PBI,PALM BEACH INTL,Palm Beach Int'l Airport,Airport,ASO,PALM BEACH,WEST PALM BEACH,FL,Federalized/Commercial,26.683167,-80.095583,Yes
563,PBI,2006,45031,43552,0.7026,0.6656,0.6858,15.15,13.13,3.17,17.54,2.37,0.8,4.01,16.47,548,PBI,2006,205,171,106,31,57,843,PBI,PALM BEACH INTL,Palm Beach Int'l Airport,Airport,ASO,PALM BEACH,WEST PALM BEACH,FL,Federalized/Commercial,26.683167,-80.095583,Yes
